dataset,fname,label,sublabel
b,set_b/Bunlabelledtest__272_1309370164386_B.wav,,
b,set_b/Bunlabelledtest__274_1311075637574_C.wav,,
b,set_b/Bunlabelledtest__278_1311163365896_C.wav,,
b,set_b/Bunlabelledtest__278_1311163365896_D.wav,,
b,set_b/Bunlabelledtest__280_1311165195344_B.wav,,
b,set_b/Bunlabelledtest__281_1311165683454_C.wav,,
b,set_b/Bunlabelledtest__282_1311166081161_D.wav,,
b,set_b/Bunlabelledtest__284_1311168471850_C.wav,,
b,set_b/Bunlabelledtest__286_1311170606028_B.wav,,
b,set_b/Bunlabelledtest__287_1311170903290_D.wav,,
b,set_b/Bunlabelledtest__288_1311164615284_B.wav,,
b,set_b/Bunlabelledtest__290_1311182875320_B.wav,,
b,set_b/Bunlabelledtest__293_1311680805936_B.wav,,
b,set_b/Bunlabelledtest__293_1311680805936_B2.wav,,
b,set_b/Bunlabelledtest__294_1311681084248_D.wav,,
b,set_b/Bunlabelledtest__296_1311682952647_A.wav,,
b,set_b/Bunlabelledtest__296_1311682952647_B.wav,,
b,set_b/Bunlabelledtest__300_1311772096120_B.wav,,
b,set_b/Bunlabelledtest__300_1311772096120_C.wav,,
b,set_b/Bunlabelledtest__300_1311772096120_D.wav,,
b,set_b/murmur_noisymurmur_135_1306428972976_A.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_135_1306428972976_B.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_135_1306428972976_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_156_1306936373241_A.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_156_1306936373241_B1.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_160_1307100683334_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_161_1307101199321_B.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_161_1307101199321_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_162_1307101835989_B_1.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_162_1307101835989_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_164_1307106095995_C1.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_165_1307109069581_A.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_165_1307109069581_C1.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_165_1307109069581_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_171_1307971016233_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_171_1307971016233_F.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_185_1308073325396_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_200_1308144251434_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_231_1308748318393_A.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_240_1309201366049_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_240_1309201366049_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_243_1309197760898_B.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_243_1309197760898_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_272_1309370164386_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_288_1311164615284_B1.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_288_1311164615284_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_292_1311185449649_D.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_293_1311680805936_C.wav,murmur,noisymurmur
b,set_b/murmur_noisymurmur_293_1311680805936_D.wav,murmur,noisymurmur
b,set_b/normal_noisynormal_101_1305030823364_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_101_1305030823364_E.wav,normal,noisynormal
b,set_b/normal_noisynormal_104_1305032492469_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_105_1305033453095_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_105_1305033453095_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_106_1306776721273_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_107_1305654946865_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_108_1305654420093_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_108_1305654420093_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_109_1305653646620_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_109_1305653972028_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_109_1305653972028_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_109_1305653972028_E.wav,normal,noisynormal
b,set_b/normal_noisynormal_109_1305653972028_F.wav,normal,noisynormal
b,set_b/normal_noisynormal_110_1305655332337_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_110_1305655332337_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_113_1306244002866_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_113_1306244002866_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_115_1306259437619_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_115_1306259437619_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_117_1306262456650_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_117_1306262456650_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_117_1306262456650_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_118_1306262335509_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_118_1306262335509_C1.wav,normal,noisynormal
b,set_b/normal_noisynormal_118_1306262335509_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_121_1306263877235_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_121_1306263877235_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_121_1306263877235_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_123_1306331925797_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_123_1306331925797_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_125_1306332456645_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_125_1306332456645_A2.wav,normal,noisynormal
b,set_b/normal_noisynormal_125_1306332456645_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_125_1306332456645_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_125_1306332456645_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_127_1306764300147_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_129_1306344506305_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_129_1306344506305_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_130_1306347376079_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_130_1306347376079_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_132_1306758754432_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_132_1306758754432_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_133_1306759619127_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_133_1306759619127_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_133_1306759619127_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_133_1306759619127_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_134_1306428161797_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_134_1306428161797_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_136_1306429977501_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_136_1306429977501_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_136_1306429977501_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_137_1306764999211_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_137_1306764999211_A2.wav,normal,noisynormal
b,set_b/normal_noisynormal_137_1306764999211_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_137_1306764999211_C1.wav,normal,noisynormal
b,set_b/normal_noisynormal_137_1306764999211_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_138_1306762146980_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_138_1306762146980_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_139_1306519274653_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_140_1306519735121_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_141_1306520154450_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_141_1306520154450_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_141_1306520154450_C1.wav,normal,noisynormal
b,set_b/normal_noisynormal_142_1306763049574_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_142_1306763049574_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_142_1306763049574_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_143_1306763822290_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_144_1306522408528_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_144_1306522408528_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_146_1306778707532_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_147_1306523973811_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_149_1306776016110_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_150_1306776340746_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_151_1306779785624_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_154_1306935608852_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_155_1306935902813_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_155_1306935902813_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_157_1306937583792_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_157_1306937583792_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_158_1306947254705_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_158_1306947254705_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_159_1307018640315_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_159_1307018640315_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_163_1307104470471_D1.wav,normal,noisynormal
b,set_b/normal_noisynormal_167_1307111318050_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_167_1307111318050_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_168_1307970069434_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_169_1307970398039_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_170_1307970562729_C1.wav,normal,noisynormal
b,set_b/normal_noisynormal_172_1307971284351_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_173_1307973611151_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_173_1307973611151_C1.wav,normal,noisynormal
b,set_b/normal_noisynormal_176_1307988171173_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_178_1307989887769_B1.wav,normal,noisynormal
b,set_b/normal_noisynormal_181_1308052613891_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_182_1308053371395_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_188_1308074301731_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_189_1308075231945_A1.wav,normal,noisynormal
b,set_b/normal_noisynormal_194_1308139824187_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_198_1308141739338_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_207_1308159792607_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_216_1308245839516_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_234_1308748855534_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_246_1309199278902_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_258_1309352253234_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_264_1309356143724_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_264_1309356143724_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_264_1309356143724_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_270_1309369533040_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_270_1309369533040_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_271_1309369876160_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_271_1309369876160_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_271_1309369876160_D.wav,normal,noisynormal
b,set_b/normal_noisynormal_278_1311163365896_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_284_1311168471850_A.wav,normal,noisynormal
b,set_b/normal_noisynormal_284_1311168471850_B.wav,normal,noisynormal
b,set_b/normal_noisynormal_285_1311169246969_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_296_1311682952647_C.wav,normal,noisynormal
b,set_b/normal_noisynormal_296_1311682952647_D.wav,normal,noisynormal
